id_venda,id_data,id_cliente,id_produto,id_localizacao,id_canal_venda,id_vendedor,id_status_entrega,id_meta,quantidade,preco_unitario,desconto,receita_bruta,receita,valor_desconto,custo_unitario,custo_total,lucro,margem_lucro,meta_venda,percentual_atingimento_meta,prazo_entrega_dias,data,ano,mes,trimestre,cliente,tipo_cliente,tempo_relacionamento_meses,faixa_renda,segmento,produto,categoria,marca,linha_produto,regiao,cidade,canal_venda,vendedor,status_entrega,atingiu_meta,mes_ano,ano_mes_ordem
1,20241214,42951a449c395401a89736b485178764e46e964a1d6e69f39cd8d70d3125f3dc,091badf2509cdebb2941ee24d9072e450cd9ee5b698902695a140492c20d36fc,074f2ea914ee2ae5e91710145dcff941b60981de3c50196ff5e4b457da28b568,ac7e24813998d31d5e116002bcd241061b59884f2db9167c1b976e9c151b8e1e,8468ec7604b1c6ade314d82a8d56dbe1b0db8428a57f344707685d0fad62f6cf,d99d23eaa65b3d3c7ed13321f0d474722f1af0189a982e94f81b04ef3d452e61,199d4fe8fbad751fabf348a4f1e5c589d1b1ccceaeed40e570df173bb7151718,5,4697.12,0.18,23485.6,19258.19,4227.41,3172.26,15861.3,3396.89,0.1764,24931.11,0.7725,9,2024-12-14,2024,12,4,Cliente_150,NOVO,1,MÉDIA,VAREJO,MOUSE,PERIFÉRICOS,BETA,PADRÃO,NORTE,MANAUS,ONLINE,VENDEDOR_02,ATRASADO,NÃO,12/2024,2024-12
2,20240309,abec5105a4ed8e50a1d16d4af48b8d8ab5a2db7a02d2ed4214d337d3ded8f0a4,170e6e46334082c3eec009444ec0f4cb6bb9e80cc061f343843a9508340fd2eb,074f2ea914ee2ae5e91710145dcff941b60981de3c50196ff5e4b457da28b568,ac7e24813998d31d5e116002bcd241061b59884f2db9167c1b976e9c151b8e1e,0b9024a72d1ae850666427abb305fab946feb5c1d3b533514826fb18b48b522c,d99d23eaa65b3d3c7ed13321f0d474722f1af0189a982e94f81b04ef3d452e61,199d4fe8fbad751fabf348a4f1e5c589d1b1ccceaeed40e570df173bb7151718,10,506.54,0.12,5065.4,4457.55,607.85,307.66,3076.6,1380.95,0.3098,5780.24,0.7712,13,2024-03-09,2024,3,1,Cliente_109,NOVO,0,ALTA,VAREJO,SMARTPHONE,TELEFONIA,DELTA,PADRÃO,NORTE,MANAUS,ONLINE,VENDEDOR_08,ATRASADO,NÃO,03/2024,2024-03
3,20240214,998466f79dc3096e15cacaa5e486a76893467881662cae15df0b249a2a554b9a,be926bb9deb946bcb8a8875add4223fc4353ed0a1f5741c9d8473285321d281f,3d4103fcdea59f90bbd612ddd26c449be72a3de619728ac1cffcbedcb3804335,ac7e24813998d31d5e116002bcd241061b59884f2db9167c1b976e9c151b8e1e,86e2c6991943a3ac90d5d11f6fe3a7c597fe777d0bfbd2fbe9d31c56be19df33,d99d23eaa65b3d3c7ed13321f0d474722f1af0189a982e94f81b04ef3d452e61,199d4fe8fbad751fabf348a4f1e5c589d1b1ccceaeed40e570df173bb7151718,1,470.34,0.23,470.34,362.16,108.18,289.38,289.38,72.78,0.201,554.46,0.6532,8,2024-02-14,2024,2,1,Cliente_108,NOVO,5,MÉDIA,VAREJO,NOTEBOOK,INFORMÁTICA,DELTA,ECONÔMICO,NORDESTE,SALVADOR,ONLINE,VENDEDOR_19,ATRASADO,NÃO,02/2024,2024-02
4,20240720,4bdaf5c6ca12d43b197820041d991dd6b6869074b56964ec9635be0a1df1ef4b,074f63d2d6a741711521ca94b7fde79ba884d9d770db589acfe8e227e5e254ea,cec1f71a2989ecf2d34d10058352eaaacb8b9424d321689236998c64ac16241b,ac7e24813998d31d5e116002bcd241061b59884f2db9167c1b976e9c151b8e1e,6029477ae6064c716da9e6bb92acae2f35c6e076ea3c3f713f35e3973a5559d1,d99d23eaa65b3d3c7ed13321f0d474722f1af0189a982e94f81b04ef3d452e61,199d4fe8fbad751fabf348a4f1e5c589d1b1ccceaeed40e570df173bb7151718,6,4524.52,0.21,27147.11,21446.22,5700.89,2723.57,16341.42,5104.8,0.238,30872.49,0.6947,10,2024-07-20,2024,7,3,Cliente_141,RECORRENTE,15,BAIXA,VAREJO,TECLADO,PERIFÉRICOS,BETA,ECONÔMICO,SUL,CURITIBA,ONLINE,VENDEDOR_20,ATRASADO,NÃO,07/2024,2024-07
5,20240711,8832bce7f42991b529cc21e55a4c30a766ee977ddcf224a4a645e83c2d98cf15,6a7527152a2c68318c6570929a1cf4c1d3cf7327535f960ab761092ca41ae809,fd8e223b49f305b7afd84f5cbd0d461b98245e457826fa473425c008f74ee9cd,872830f56dd50487417feb18b854c49a269c246ac519d7499cf522918cb62770,a3b3f5bd0a9a9078f50184cc0946819c54059e91acbddc90534208612037f942,d99d23eaa65b3d3c7ed13321f0d474722f1af0189a982e94f81b04ef3d452e61,199d4fe8fbad751fabf348a4f1e5c589d1b1ccceaeed40e570df173bb7151718,8,3178.6,0.17,25428.8,21105.9,4322.9,2543.4,20347.2,758.7,0.0359,24448.64,0.8633,14,2024-07-11,2024,7,3,Cliente_150,RECORRENTE,17,MÉDIA,ATACADO,MONITOR,INFORMÁTICA,DELTA,PREMIUM,SUL,PORTO ALEGRE,LOJA,VENDEDOR_10,ATRASADO,NÃO,07/2024,2024-07
6,20240531,8011a2e0d20d71ff5d21a98d36f38778906935638b0927361bb629e924a69de8,7019bc41ecabdf05ebb511ec21fbb1fd7b6deb766e1a0b5ecfac3a99b7501f5a,3d4103fcdea59f90bbd612ddd26c449be72a3de619728ac1cffcbedcb3804335,872830f56dd50487417feb18b854c49a269c246ac519d7499cf522918cb62770,a3b3f5bd0a9a9078f50184cc0946819c54059e91acbddc90534208612037f942,718702ffb8217f83e966caa9ce461a9b74273325d2868d60744fe33169e191e9,199d4fe8fbad751fabf348a4f1e5c589d1b1ccceaeed40e570df173bb7151718,8,2144.64,0.11,17157.12,15269.84,1887.28,1309.53,10476.24,4793.6,0.3139,18388.79,0.8304,6,2024-05-31,2024,5,2,Cliente_127,RECORRENTE,29,ALTA,ATACADO,MONITOR,INFORMÁTICA,BETA,PREMIUM,NORDESTE,SALVADOR,LOJA,VENDEDOR_10,NO PRAZO,NÃO,05/2024,2024-05
7,20240120,9c0832c0e545302b1574adf96f439918da1955f68e32b212bcfa9b42abca9cba,3e7e9b2fefb41519afe383edfd4512fb28453eac45739e197afd2655fac4c45a,ad8fab0905cb7f8e3dea787f1cd212aa130653b7e1f3458ac820fec2fba7b144,ac7e24813998d31d5e116002bcd241061b59884f2db9167c1b976e9c151b8e1e,da571b9283e30a2c78fb144ca3a1089486cd3593762478dbdf371a13bc9b65e8,718702ffb8217f83e966caa9ce461a9b74273325d2868d60744fe33169e191e9,199d4fe8fbad751fabf348a4f1e5c589d1b1ccceaeed40e570df173bb7151718,5,2760.83,0.16,13804.15,11595.49,2208.66,1770.22,8851.1,2744.39,0.2367,14324.95,0.8095,2,2024-01-20,2024,1,1,Cliente_126,RECORRENTE,28,BAIXA,ATACADO,SMARTPHONE,TELEFONIA,ALPHA,PREMIUM,SUDESTE,SÃO PAULO,ONLINE,VENDEDOR_03,NO PRAZO,NÃO,01/2024,2024-01
8,20240510,6f8591f185f6f993a6e85a8c539824d776119b9c2bd11bcdf455428155dc51ac,f97e36348cb20a7390706e6d3ec77bfe9eb1770463fec189db6dc4d1f39dae1b,99621b38cebd51ac63078e040c33f7b6a2360f3f0cb29e70880c356f562ee6dd,872830f56dd50487417feb18b854c49a269c246ac519d7499cf522918cb62770,da571b9283e30a2c78fb144ca3a1089486cd3593762478dbdf371a13bc9b65e8,718702ffb8217f83e966caa9ce461a9b74273325d2868d60744fe33169e191e9,199d4fe8fbad751fabf348a4f1e5c589d1b1ccceaeed40e570df173bb7151718,10,5446.03,0.19,54460.3,44112.84,10347.46,3116.11,31161.1,12951.74,0.2936,55981.71,0.788,6,2024-05-10,2024,5,2,Cliente_024,RECORRENTE,20,BAIXA,ATACADO,MOUSE,PERIFÉRICOS,GAMMA,PREMIUM,CENTRO-OESTE,BRASÍLIA,LOJA,VENDEDOR_03,NO PRAZO,NÃO,05/2024,2024-05
9,20241215,c0aaa33ecc7919c411e92cca81b51094b528fc15467a252bafdb5c73adf5f486,dec76fdb53afbe5b89c11eb9befcc97fc502109040690460484ed409aa2a81d6,fd8e223b49f305b7afd84f5cbd0d461b98245e457826fa473425c008f74ee9cd,ac7e24813998d31d5e116002bcd241061b59884f2db9167c1b976e9c151b8e1e,1b68031508d05d5d38d9ca5ea43184a71cbbd009bf9bae2793d3cd4488cd0c07,d99d23eaa65b3d3c7ed13321f0d474722f1af0189a982e94f81b04ef3d452e61,199d4fe8fbad751fabf348a4f1e5c589d1b1ccceaeed40e570df173bb7151718,8,3175.6,0.0,25404.8,25404.8,0.0,2114.8,16918.4,8486.4,0.334,28270.93,0.8986,13,2024-12-15,2024,12,4,Cliente_099,RECORRENTE,44,ALTA,ATACADO,NOTEBOOK,INFORMÁTICA,GAMMA,PREMIUM,SUL,PORTO ALEGRE,ONLINE,VENDEDOR_15,ATRASADO,NÃO,12/2024,2024-12
10,20241111,40ccd59cfb4f8b5ffff5de6851a2c2d2a01bdca2e6b92ff06ef567774dd3a579,b8addf4def2d19c7988092c00365c86e6d7b20cac51abd2274d30338a7582bcc,980f64fe4b19ef4c26b8e5361b3a4096afe38bea03a47937eba620c7c9859dd0,ac7e24813998d31d5e116002bcd241061b59884f2db9167c1b976e9c151b8e1e,0b9024a72d1ae850666427abb305fab946feb5c1d3b533514826fb18b48b522c,d99d23eaa65b3d3c7ed13321f0d474722f1af0189a982e94f81b04ef3d452e61,199d4fe8fbad751fabf348a4f1e5c589d1b1ccceaeed40e570df173bb7151718,4,4201.27,0.17,16805.08,13948.22,2856.86,3706.31,14825.24,-877.02,-0.0629,18397.12,0.7582,12,2024-11-11,2024,11,4,Cliente_197,NOVO,3,BAIXA,ATACADO,MOUSE,PERIFÉRICOS,BETA,PREMIUM,NORTE,BELÉM,ONLINE,VENDEDOR_08,ATRASADO,NÃO,11/2024,2024-11
11,20240209,678bb8486ad23115b76f1fbb72504855eee019a0f0d87dd22b4845596eb71e75,8a19b1f59bfc8f4261e4c5c83fcd12a78de4cfdd1808a12b65edbef87bb7dcd0,074f2ea914ee2ae5e91710145dcff941b60981de3c50196ff5e4b457da28b568,ac7e24813998d31d5e116002bcd241061b59884f2db9167c1b976e9c151b8e1e,7d770d7f21884e397bb44662ce079eb7ad59ad435755727a8df599ad0d3b0697,d99d23eaa65b3d3c7ed13321f0d474722f1af0189a982e94f81b04ef3d452e61,199d4fe8fbad751fabf348a4f1e5c589d1b1ccceaeed40e570df173bb7151718,9,5221.71,0.11,46995.39,41825.9,5169.49,2910.85,26197.65,15628.25,0.3737,54118.48,0.7729,13,2024-02-09,2024,2,1,Cliente_141,NOVO,4,MÉDIA,ATACADO,HEADSET,PERIFÉRICOS,DELTA,PADRÃO,NORTE,MANAUS,ONLINE,VENDEDOR_14,ATRASADO,NÃO,02/2024,2024-02
12,20240515,b2279a69804527d1fd423e29138be3a4fa529d1812d79e568074981a79fbb979,8a14f7b8296a1a30494de8295c995f08cf8984b432dc5ec76f600ca5717ff7a0,ad8fab0905cb7f8e3dea787f1cd212aa130653b7e1f3458ac820fec2fba7b144,ac7e24813998d31d5e116002bcd241061b59884f2db9167c1b976e9c151b8e1e,0b9024a72d1ae850666427abb305fab946feb5c1d3b533514826fb18b48b522c,718702ffb8217f83e966caa9ce461a9b74273325d2868d60744fe33169e191e9,199d4fe8fbad751fabf348a4f1e5c589d1b1ccceaeed40e570df173bb7151718,9,645.94,0.1,5813.46,5232.11,581.35,529.39,4764.51,467.6,0.0894,5797.93,0.9024,6,2024-05-15,2024,5,2,Cliente_046,NOVO,1,BAIXA,VAREJO,TECLADO,PERIFÉRICOS,DELTA,PADRÃO,SUDESTE,SÃO PAULO,ONLINE,VENDEDOR_08,NO PRAZO,NÃO,05/2024,2024-05
13,20240909,9277d88abf8dff8cb1795ccf28d1244f32476a94ece1c95cbc66efee91f8d990,a61b2b3591534c169ebdd3000d7abce88e2373ac0bf17872427d645b7fa37972,c41a560d27bdc15e0f1e2e48bb1f763998050a0b14d7ef849816dc81c21246ef,872830f56dd50487417feb18b854c49a269c246ac519d7499cf522918cb62770,6029477ae6064c716da9e6bb92acae2f35c6e076ea3c3f713f35e3973a5559d1,718702ffb8217f83e966caa9ce461a9b74273325d2868d60744fe33169e191e9,199d4fe8fbad751fabf348a4f1e5c589d1b1ccceaeed40e570df173bb7151718,5,1059.77,0.11,5298.85,4715.98,582.87,705.77,3528.85,1187.13,0.2517,5499.19,0.8576,7,2024-09-09,2024,9,3,Cliente_038,RECORRENTE,23,BAIXA,ATACADO,NOTEBOOK,INFORMÁTICA,DELTA,PREMIUM,NORDESTE,RECIFE,LOJA,VENDEDOR_20,NO PRAZO,NÃO,09/2024,2024-09
